filepath,slice,x,y,label
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0035.npy,15,135,164,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0038.npy,23,127,130,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0866.npy,12,99,90,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0026.npy,18,147,123,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0325.npy,7,59,91,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0038.npy,23,125,137,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0189.npy,11,107,198,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0228.npy,9,127,205,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0070.npy,12,126,117,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0139.npy,13,134,194,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0098.npy,13,133,129,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0016.npy,22,122,154,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0074.npy,21,118,136,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0027.npy,10,136,137,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0050.npy,11,97,166,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0051.npy,16,129,136,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0026.npy,19,144,119,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0063.npy,14,115,147,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/1116.npy,9,13,158,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0070.npy,12,122,122,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0091.npy,17,145,130,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0995.npy,6,129,128,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0071.npy,10,118,144,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0062.npy,11,125,156,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0097.npy,16,140,142,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0079.npy,30,217,201,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0271.npy,6,130,233,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0054.npy,21,117,163,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0495.npy,11,119,167,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0026.npy,18,151,114,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0097.npy,16,142,138,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0004.npy,15,139,112,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0080.npy,21,135,155,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0063.npy,16,113,143,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0320.npy,15,45,214,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0089.npy,12,134,131,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0055.npy,21,114,176,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0089.npy,12,127,142,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0995.npy,0,97,181,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0342.npy,0,134,115,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0054.npy,20,136,135,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0329.npy,12,48,228,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0146.npy,11,122,138,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0189.npy,11,104,91,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0023.npy,16,150,118,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0095.npy,17,142,121,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0067.npy,22,122,157,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0004.npy,14,142,105,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0061.npy,18,128,144,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0062.npy,11,111,170,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0189.npy,10,42,179,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0375.npy,0,121,117,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0139.npy,13,223,73,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0079.npy,30,203,66,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0033.npy,26,131,165,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0016.npy,22,130,144,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0094.npy,22,120,140,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0567.npy,14,111,136,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0978.npy,1,243,99,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0281.npy,8,205,239,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0018.npy,9,108,142,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0034.npy,21,124,119,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0463.npy,9,154,121,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0065.npy,24,120,139,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0039.npy,16,139,134,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0006.npy,15,116,116,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0016.npy,21,119,159,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0057.npy,22,115,168,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/1037.npy,7,146,181,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0028.npy,17,131,116,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0089.npy,12,138,124,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0055.npy,20,110,178,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0281.npy,8,67,91,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0281.npy,8,190,44,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0271.npy,6,113,83,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0046.npy,10,136,120,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0463.npy,9,129,238,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0080.npy,19,130,165,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0189.npy,11,58,190,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0062.npy,11,129,142,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0081.npy,12,110,151,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0033.npy,26,137,151,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0006.npy,14,114,120,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0041.npy,17,127,141,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0139.npy,13,119,108,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0096.npy,19,141,116,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0475.npy,17,201,67,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0049.npy,17,96,136,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0013.npy,17,142,137,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0059.npy,16,125,147,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0040.npy,11,127,134,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0019.npy,14,114,149,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0420.npy,7,238,124,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0090.npy,14,121,151,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0016.npy,21,124,153,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0076.npy,11,115,114,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0065.npy,24,126,134,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0055.npy,21,118,173,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0055.npy,21,131,158,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0024.npy,17,141,157,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0073.npy,13,120,134,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0031.npy,15,121,168,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0320.npy,10,119,184,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0080.npy,21,129,169,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0090.npy,14,134,129,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0079.npy,30,25,166,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0048.npy,13,128,151,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0076.npy,11,110,121,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0070.npy,12,109,141,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0080.npy,21,141,137,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0189.npy,11,233,73,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0013.npy,16,135,144,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0081.npy,13,112,152,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0086.npy,8,165,75,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0088.npy,14,137,99,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0025.npy,11,130,130,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0000.npy,21,126,137,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0048.npy,13,126,215,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0050.npy,11,84,97,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0010.npy,18,125,121,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0005.npy,16,139,123,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0492.npy,5,18,91,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0013.npy,17,134,148,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/1116.npy,9,156,227,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0016.npy,21,140,127,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0091.npy,18,135,146,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0065.npy,24,130,128,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0008.npy,17,123,165,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0325.npy,7,18,65,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0076.npy,11,108,123,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0086.npy,17,139,156,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0347.npy,15,208,114,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0032.npy,15,142,139,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0395.npy,9,124,127,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0019.npy,15,128,134,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0081.npy,12,101,159,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0682.npy,27,158,194,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0206.npy,11,131,212,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0057.npy,22,121,162,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0048.npy,12,121,168,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0058.npy,10,114,157,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0024.npy,18,151,155,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0084.npy,16,137,120,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0063.npy,14,131,119,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0041.npy,17,131,137,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0031.npy,15,122,164,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0065.npy,23,111,149,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0061.npy,18,128,147,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/1116.npy,9,135,158,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0088.npy,14,119,122,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0051.npy,16,117,151,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0019.npy,14,129,132,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0329.npy,7,120,204,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0032.npy,16,137,142,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0031.npy,15,125,158,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0059.npy,15,132,138,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0024.npy,17,147,146,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0281.npy,8,21,216,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0097.npy,16,139,144,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0866.npy,12,114,213,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0018.npy,10,119,133,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0600.npy,8,199,17,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0081.npy,12,114,140,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0004.npy,15,135,120,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0022.npy,17,127,125,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0600.npy,8,229,195,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0002.npy,17,134,137,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0228.npy,9,131,241,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0094.npy,21,108,167,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0394.npy,12,122,186,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0013.npy,16,122,160,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0420.npy,7,50,216,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0091.npy,17,153,119,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0048.npy,12,120,169,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/1128.npy,0,171,110,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0051.npy,17,121,143,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0055.npy,21,125,161,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0072.npy,12,128,153,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0088.npy,14,129,109,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0059.npy,16,146,140,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0057.npy,1,168,55,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0048.npy,13,113,171,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0091.npy,18,137,140,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0682.npy,27,150,101,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0061.npy,18,132,137,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0394.npy,12,127,107,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0002.npy,17,126,152,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0024.npy,17,151,137,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0028.npy,16,125,123,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0028.npy,15,133,109,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0682.npy,27,140,146,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0006.npy,15,106,127,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0394.npy,7,135,72,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0060.npy,8,137,144,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0139.npy,13,187,22,0
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0271.npy,6,43,222,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0041.npy,16,126,143,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0059.npy,16,139,143,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0978.npy,1,205,239,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0065.npy,24,123,136,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0072.npy,13,135,131,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0093.npy,17,125,143,1
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0080.npy,19,149,144,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0475.npy,17,132,194,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0000.npy,21,115,146,1
C:\Users\heath\projects\uOttawa\classes\MRNet-v1.0/train/sagittal/0281.npy,8,9,195,0
C:/Users/heath/OneDrive - University of Ottawa/Courses/BIOM5202/MRNet-v1.0/MRNet-v1.0/train/sagittal\0082.npy,15,125,137,1
